builder_id,Builder_name,Builder_ratings
102176.0,Himalaya Buildcon,2
572775.0,Shakti Buildcon,3
1255416.0,Vrundavan Buildcon,2
100526069.0,Divyajyot Buildcon,4
105613.0,Yash Realty,5
106479.0,Paghadi Infratech,2
100336088.0,Wishpark Infra,2
1598082.0,Suvidhi Projects LLP,5
1479440.0,Sahajanand Developer Ahmedabad,4
100556392.0,Shyam Shayona Infrastructure,5
102288.0,Nobles Construction,5
107792.0,Sheth Developers Ahmedabad,5
1293538.0,Rudram Developer,3
1259832.0,Akshar Group Ahmedabad,4
1939173.0,Avis Buildcon Ahmedabad,3
2090412.0,Shree Rajan Developers,4
572904.0,Sewani Construction,2
578872.0,Vrundavan,3
1893889.0,VR Infra,5
101894.0,Shukan,5
105748.0,The Devyug,5
100371807.0,Associated Buildcon,2
100490673.0,Swamarvella Developers,5
100329045.0,Shine Infra,2
1446108.0,Shubham Skyz CHS,5
2102292.0,Shukan Group,4
1256430.0,Vallabh Infrastructure,5
106001.0,Binori Buildcon,2
101897.0,Simandhar Developers,3
572806.0,Nishan Group,4
678604.0,Aryan Infra,3
1759742.0,Devam Buildcon Ahmedabad,2
613317.0,Siddharth Group Ahmedabad,2
112683.0,Magnolia Infra,4
105112.0,KP Sanghvi,3
100223035.0,Riddhi Siddhi Infra Ahmedabad,3
100072243.0,Aditya Infrastructure Gandhinagar,2
100163458.0,Sunbird Procon,4
100353142.0,Ratnamani Buildspace,4
100550.0,Bakeri Group,2
634851.0,Aristo,3
815859.0,Gopinath Developers,5
2224049.0,Shivshakti infracon,5
563399.0,Shree Sadhi Krupa Infra,4
100070718.0,R R Construction Ahmedabad,3
580008.0,Prasthan,5
1925594.0,Kanhai Infrastructure,5
263413.0,Vishwanath Realtor,3
1933067.0,Friends Infrabuild,4
100308888.0,Maxel Procon,3
264530.0,Advance Group Ahmedabad,4
553260.0,Krrish Group Of Companies,3
100379730.0,A Shridhar Buildcon,4
108818.0,SS Enterprises,5
100155137.0,Vertis Developers,2
106792.0,Arise Group,2
1594197.0,Venus Infrastructure Ahmedabad,4
100539957.0,Sparsh Infraprocon LLP,4
1611021.0,Shree Shiddhivinayak Developers,2
107417.0,Rudra Developers,5
102478.0,Hari Om Group,4
100552838.0,Infracon,5
1373690.0,Jainam Procon,2
100268663.0,Saga Infracon,5
104952.0,Krishna Developer,2
105634.0,Suvas Kotson,5
109633.0,Panchshlok,2
105371.0,Suvas Group,2
1253724.0,Shivaay Procon,4
109379.0,Radhe Homes,5
100034361.0,Shivalik Group,5
1791671.0,Varniraj Spacelink,4
1392958.0,Dharmnandan Developers,3
621160.0,Golden Infrastructure,4
1491909.0,Nirgun Buildpro,3
100234429.0,Greens And Swastik Developers,5
572822.0,Ishan Developers,2
104417.0,HN Safal Infra Developers,4
760838.0,Metro Real Estate,5
100450880.0,VR Buildcon,5
105119.0,Panchratna Corporation,3
1161104.0,Ramdev Buildcon,2
1373021.0,Samor Realty,3
554112.0,Ved Corporation,3
553148.0,DB Buildcon,2
1667083.0,Seventh Infracon,5
553177.0,Siddhi Infrastructure,5
100018841.0,Sk Shivana Infra,5
1144410.0,NBR Buildcon,2
109381.0,Seventh,5
579567.0,Nirman Ahmedabad,2
740393.0,Yash Group,4
2232547.0,Anant Buildcon Ahmedabad,3
1219686.0,Shakti Creators,4
1680473.0,Skyline Infrastructure Ahmedabad,4
579591.0,Vandematram,3
637244.0,BV Developers,2
617779.0,Anand Developers Ahmedabad,5
105090.0,Rushabhdev Infrastructure,4
570636.0,Abhilekh Infrastructure,2
1220258.0,Ambica Developers Ahmedabad,4
1219946.0,Shree Varahi Developers,3
504515.0,Samvaad Real Estate,5
1450695.0,PHA Buildcon,2
1760107.0,Anand Developers Ambawadi,3
2036168.0,Swetraj Projects,4
596102.0,Dev Bhoomi Developers,4
100376369.0,Shri Ram Infrastructure,5
557528.0,The Festival Group,2
556192.0,Shree Siddhi Vinayak Asset,2
100126702.0,Arcus Lifespaces,4
1752318.0,Vishnu Developers Ahmedabad,3
2136476.0,Nisarg Corporation,3
100133823.0,Buildwise Construction,3
567126.0,NG Group,4
109769.0,Sijcon Consultants,2
829700.0,KT Hrishikesh Realty,4
618814.0,Tirth Realty,5
631751.0,R Sheladia Developers,3
1752456.0,Samyak 49,5
113832.0,Surya Buildcon,4
100532823.0,Dwarkesh Anaya Homes LLP,4
100565241.0,Beverly Buildcon,2
106446.0,Shri Balaji Developers,2
1221123.0,Yash Corporation Ahmedabad,5
104390.0,Uma,4
105977.0,Maruti,3
269478.0,Skyline Developer Ahmedabad,5
1483717.0,Nilkanth Infra Projects,4
1255055.0,Gandhi Infra Space,5
1161082.0,Samarth Corporation,3
1377798.0,Ashraya Homes,2
737762.0,Sargam Corporation,4
100093208.0,S Cube Buildcon Ahmedabad,3
1160157.0,Dev Group Ahmedabad,2
100467090.0,9 Brothers Realbuild,2
551286.0,Sambhavnath Developers,4
107123.0,Gopalanand Developers,3
553443.0,Sakar Infracon,4
105754.0,Anmol Infrabuild LLP,3
1163685.0,Ganesh Group Naroda,5
567138.0,Atishay Group,2
579607.0,Gajanan Infracon,2
101909.0,Purohit Construction,2
100411493.0,Skyview Developers,4
100097950.0,Mahaprabhu Residency,3
100289220.0,Keshar Developers Ahmedabad,4
1385376.0,Empire Infrastructure Ahmedabad,2
1816627.0,Siddhivinayak Developers Satellite Ahmedabad,2
740428.0,Roots Infrastructure,2
1467186.0,Oriental Projects,4
2229805.0,Aakar Builders,2
100012066.0,Anshul Corporation,2
100093243.0,Sanman Corporation,4
108606.0,Sahjanand Group,3
737753.0,Jogi Developers,2
1470473.0,Solitaire Group Ahmedabad,3
105852.0,DBS Affordable Home,2
105079.0,Shree Rang Group,2
550077.0,Prerna Buildcon,5
1144411.0,Riti Infra LLP,4
1483069.0,Takshashila Realties,5
1871509.0,Rang Reality,5
100121687.0,Riddhi Developers Ahmedabad,4
1369583.0,Mansi Builders,2
100008808.0,Shree Sharanam Group,2
100075539.0,R K Infracon,2
105102.0,JP Developer,5
576941.0,Shree Kunj Buildcon,4
109819.0,Maruti Infrastructure,3
1141627.0,Shyam Group Chiloda,2
572902.0,Devaditya Group,5
575876.0,Swastik Elegance Developers,3
